m,n,result,time(s)
4,10,1,<1
4,20,11,1
4,30,70,1
4,40,371,1
4,50,1668,1
4,100,805158,1
4,500,1539882341768008367,1
4,1000,6599856771706683389584873067,1
4,10000,404782800357869609214171207228792120187351626417841881425485481108408820217368869942424037207106779527,1
4,100000,10581147654704338714386300581904903571256285084064314649812542919364409851438948345743212240958447444684929274737097455406876433718195788160631619417691535221397119177660424645608706235840030219505945056164326206367936751161054822974980801657407341918190395429367579035072061365428961151709347479560073582347862367342574263530876345983800589
4,999999,18374598245543654663782884165198003321150631188677057310566752879523898699148254163459987871460590118005253627335711577755371543156945533647872346331502089004397232157497462950460865597844455208345015478520310476570104566273380065166692288416767188909914023730261807085116698799573522058238917021568646635895309758306817879195434928348696041563949266274356662102683154485196808942744136438861656162157969454353061049449487793954103378253913134454782890889360594935464059400876496194882094278715899457495175629709396909557753759726752434891850318602237646991247478577470501497860809994367639514500086099700148777725834105698355964465914096778911715143752553702662058100468962529003009960926349413795995054717215622043431505585193601851482919640766153426429769120546671154232825092236943812766920174343913865567505727036728542539775136630924550655417143013797369892994084467336792174579846268772506152148598027507076991652533643273315037383553114027067231996689226187175287918977372678678200192515102183044887236011579214169924628813176193135621105770152082923304003139956495607470732889390205204333894
